date,state,fips,cases,deaths,daily_new_cases,daily_new_deaths
2020-03-01,Florida,12,2,0,0.0,0.0
2020-03-03,Florida,12,3,0,1.0,0.0
2020-03-06,Florida,12,7,2,3.0,2.0
2020-03-07,Florida,12,12,2,5.0,0.0
2020-03-10,Florida,12,23,2,9.0,0.0
2020-03-11,Florida,12,26,2,3.0,0.0
2020-03-12,Florida,12,46,2,20.0,0.0
2020-03-13,Florida,12,70,2,24.0,0.0
2020-03-14,Florida,12,70,3,0.0,1.0
2020-03-15,Florida,12,109,3,39.0,0.0
2020-03-16,Florida,12,141,4,32.0,1.0
2020-03-17,Florida,12,210,6,69.0,2.0
2020-03-18,Florida,12,326,7,116.0,1.0
2020-03-19,Florida,12,434,8,108.0,1.0
2020-03-20,Florida,12,564,9,130.0,1.0
2020-03-21,Florida,12,764,11,200.0,2.0
2020-03-22,Florida,12,1000,13,236.0,2.0
2020-03-23,Florida,12,1222,18,222.0,5.0
2020-03-24,Florida,12,1467,20,245.0,2.0
2020-03-25,Florida,12,1971,23,504.0,3.0
2020-03-26,Florida,12,2478,29,507.0,6.0
2020-03-27,Florida,12,3198,46,720.0,17.0
2020-03-28,Florida,12,4038,56,840.0,10.0
2020-03-29,Florida,12,4943,60,905.0,4.0
2020-03-30,Florida,12,5695,72,752.0,12.0
2020-03-31,Florida,12,6742,85,1047.0,13.0
2020-04-01,Florida,12,7769,100,1027.0,15.0
2020-04-02,Florida,12,9000,144,1231.0,44.0
2020-04-03,Florida,12,10260,169,1260.0,25.0
2020-04-04,Florida,12,11537,194,1277.0,25.0
2020-04-05,Florida,12,12342,220,805.0,26.0
2020-04-06,Florida,12,13621,253,1279.0,33.0
2020-04-07,Florida,12,14739,295,1118.0,42.0
2020-04-08,Florida,12,15690,322,951.0,27.0
2020-04-09,Florida,12,16819,370,1129.0,48.0
2020-04-10,Florida,12,17960,418,1141.0,48.0
2020-04-11,Florida,12,18978,445,1018.0,27.0
2020-04-12,Florida,12,19855,460,877.0,15.0
2020-04-13,Florida,12,21011,498,1156.0,38.0
2020-04-14,Florida,12,21620,570,609.0,72.0
2020-04-15,Florida,12,22526,613,906.0,43.0
